"fechaobservacion","valorobservado","nombreestacion","codigoestacion","latitud","longitud","unidadmedida"
"2012-10-06T01:00:00.000","2.009","TESORO INVEMAR","0014017001","10.235","-75.741","m"
"2012-10-06T02:00:00.000","2.005","TESORO INVEMAR","0014017001","10.235","-75.741","m"
"2012-10-06T03:00:00.000","2.054","TESORO INVEMAR","0014017001","10.235","-75.741","m"
"2012-10-06T04:00:00.000","2.1","TESORO INVEMAR","0014017001","10.235","-75.741","m"
"2012-10-06T05:00:00.000","2.091","TESORO INVEMAR","0014017001","10.235","-75.741","m"
"2012-10-06T06:00:00.000","2.104","TESORO INVEMAR","0014017001","10.235","-75.741","m"
"2012-10-06T07:00:00.000","2.147","TESORO INVEMAR","0014017001","10.235","-75.741","m"
"2012-10-06T08:00:00.000","2.13","TESORO INVEMAR","0014017001","10.235","-75.741","m"
"2012-10-06T09:00:00.000","2.238","TESORO INVEMAR","0014017001","10.235","-75.741","m"
"2012-10-06T10:00:00.000","2.278","TESORO INVEMAR","0014017001","10.235","-75.741","m"
"2012-10-06T11:00:00.000","2.229","TESORO INVEMAR","0014017001","10.235","-75.741","m"
"2012-10-06T12:00:00.000","2.289","TESORO INVEMAR","0014017001","10.235","-75.741","m"
"2012-10-06T13:00:00.000","2.349","TESORO INVEMAR","0014017001","10.235","-75.741","m"
"2012-10-06T14:00:00.000","2.415","TESORO INVEMAR","0014017001","10.235","-75.741","m"
"2012-10-06T15:00:00.000","2.628","TESORO INVEMAR","0014017001","10.235","-75.741","m"
"2012-10-06T16:00:00.000","2.411","TESORO INVEMAR","0014017001","10.235","-75.741","m"
"2012-10-06T17:00:00.000","2.601","TESORO INVEMAR","0014017001","10.235","-75.741","m"
"2012-10-06T18:00:00.000","2.558","TESORO INVEMAR","0014017001","10.235","-75.741","m"
"2012-10-06T19:00:00.000","2.454","TESORO INVEMAR","0014017001","10.235","-75.741","m"
"2012-10-06T20:00:00.000","2.387","TESORO INVEMAR","0014017001","10.235","-75.741","m"
"2012-10-06T21:00:00.000","2.308","TESORO INVEMAR","0014017001","10.235","-75.741","m"
"2012-10-06T22:00:00.000","2.436","TESORO INVEMAR","0014017001","10.235","-75.741","m"
"2012-10-06T23:00:00.000","2.3","TESORO INVEMAR","0014017001","10.235","-75.741","m"
"2012-10-07T00:00:00.000","2.24","TESORO INVEMAR","0014017001","10.235","-75.741","m"
"2012-10-07T01:00:00.000","2.306","TESORO INVEMAR","0014017001","10.235","-75.741","m"
"2012-10-07T02:00:00.000","2.161","TESORO INVEMAR","0014017001","10.235","-75.741","m"
"2012-10-07T03:00:00.000","2.18","TESORO INVEMAR","0014017001","10.235","-75.741","m"
"2012-10-07T04:00:00.000","2.346","TESORO INVEMAR","0014017001","10.235","-75.741","m"
"2012-10-07T05:00:00.000","2.252","TESORO INVEMAR","0014017001","10.235","-75.741","m"
"2012-10-07T06:00:00.000","2.248","TESORO INVEMAR","0014017001","10.235","-75.741","m"
"2012-10-07T07:00:00.000","2.278","TESORO INVEMAR","0014017001","10.235","-75.741","m"
"2012-10-07T08:00:00.000","2.328","TESORO INVEMAR","0014017001","10.235","-75.741","m"
"2012-10-07T09:00:00.000","2.358","TESORO INVEMAR","0014017001","10.235","-75.741","m"
"2012-10-07T10:00:00.000","2.262","TESORO INVEMAR","0014017001","10.235","-75.741","m"
"2012-10-07T11:00:00.000","2.205","TESORO INVEMAR","0014017001","10.235","-75.741","m"
"2012-10-07T12:00:00.000","2.269","TESORO INVEMAR","0014017001","10.235","-75.741","m"
"2012-10-07T13:00:00.000","2.354","TESORO INVEMAR","0014017001","10.235","-75.741","m"
"2012-10-07T14:00:00.000","2.364","TESORO INVEMAR","0014017001","10.235","-75.741","m"
"2012-10-07T15:00:00.000","2.568","TESORO INVEMAR","0014017001","10.235","-75.741","m"
"2012-10-07T16:00:00.000","2.695","TESORO INVEMAR","0014017001","10.235","-75.741","m"
"2012-10-07T17:00:00.000","2.556","TESORO INVEMAR","0014017001","10.235","-75.741","m"
"2012-10-07T18:00:00.000","2.603","TESORO INVEMAR","0014017001","10.235","-75.741","m"
"2012-10-07T19:00:00.000","2.626","TESORO INVEMAR","0014017001","10.235","-75.741","m"
"2012-10-07T20:00:00.000","2.448","TESORO INVEMAR","0014017001","10.235","-75.741","m"
"2012-10-07T21:00:00.000","2.517","TESORO INVEMAR","0014017001","10.235","-75.741","m"
"2012-10-07T22:00:00.000","2.337","TESORO INVEMAR","0014017001","10.235","-75.741","m"
"2012-10-07T23:00:00.000","2.277","TESORO INVEMAR","0014017001","10.235","-75.741","m"
"2012-10-08T00:00:00.000","2.296","TESORO INVEMAR","0014017001","10.235","-75.741","m"
"2012-10-08T01:00:00.000","2.451","TESORO INVEMAR","0014017001","10.235","-75.741","m"
"2012-10-08T02:00:00.000","2.675","TESORO INVEMAR","0014017001","10.235","-75.741","m"
"2012-10-08T03:00:00.000","2.348","TESORO INVEMAR","0014017001","10.235","-75.741","m"
"2012-10-08T04:00:00.000","2.716","TESORO INVEMAR","0014017001","10.235","-75.741","m"
"2012-10-08T05:00:00.000","2.519","TESORO INVEMAR","0014017001","10.235","-75.741","m"
"2012-10-08T06:00:00.000","2.391","TESORO INVEMAR","0014017001","10.235","-75.741","m"
"2012-10-08T07:00:00.000","2.479","TESORO INVEMAR","0014017001","10.235","-75.741","m"
"2012-10-08T08:00:00.000","2.632","TESORO INVEMAR","0014017001","10.235","-75.741","m"
"2012-10-08T09:00:00.000","2.544","TESORO INVEMAR","0014017001","10.235","-75.741","m"
"2012-10-08T10:00:00.000","2.589","TESORO INVEMAR","0014017001","10.235","-75.741","m"
"2012-10-08T11:00:00.000","2.573","TESORO INVEMAR","0014017001","10.235","-75.741","m"
"2012-10-08T12:00:00.000","2.581","TESORO INVEMAR","0014017001","10.235","-75.741","m"
"2012-10-08T13:00:00.000","2.883","TESORO INVEMAR","0014017001","10.235","-75.741","m"
"2012-10-08T14:00:00.000","2.719","TESORO INVEMAR","0014017001","10.235","-75.741","m"
"2012-10-08T15:00:00.000","3.153","TESORO INVEMAR","0014017001","10.235","-75.741","m"
"2012-10-08T16:00:00.000","3.736","TESORO INVEMAR","0014017001","10.235","-75.741","m"
"2012-10-08T17:00:00.000","3.68","TESORO INVEMAR","0014017001","10.235","-75.741","m"
"2012-10-08T18:00:00.000","3.696","TESORO INVEMAR","0014017001","10.235","-75.741","m"
"2012-10-08T19:00:00.000","4.522","TESORO INVEMAR","0014017001","10.235","-75.741","m"
"2012-10-08T20:00:00.000","3.928","TESORO INVEMAR","0014017001","10.235","-75.741","m"
"2012-10-08T21:00:00.000","3.894","TESORO INVEMAR","0014017001","10.235","-75.741","m"
"2012-10-08T22:00:00.000","3.792","TESORO INVEMAR","0014017001","10.235","-75.741","m"
"2012-10-08T23:00:00.000","3.586","TESORO INVEMAR","0014017001","10.235","-75.741","m"
"2012-10-09T00:00:00.000","3.428","TESORO INVEMAR","0014017001","10.235","-75.741","m"
"2012-10-09T01:00:00.000","3.287","TESORO INVEMAR","0014017001","10.235","-75.741","m"
"2012-10-09T02:00:00.000","3.498","TESORO INVEMAR","0014017001","10.235","-75.741","m"
"2012-10-09T03:00:00.000","3.505","TESORO INVEMAR","0014017001","10.235","-75.741","m"
"2012-10-09T04:00:00.000","3.516","TESORO INVEMAR","0014017001","10.235","-75.741","m"
"2012-10-09T05:00:00.000","3.321","TESORO INVEMAR","0014017001","10.235","-75.741","m"
"2012-10-09T06:00:00.000","3.526","TESORO INVEMAR","0014017001","10.235","-75.741","m"
"2012-10-09T07:00:00.000","4.03","TESORO INVEMAR","0014017001","10.235","-75.741","m"
"2012-10-09T08:00:00.000","4.123","TESORO INVEMAR","0014017001","10.235","-75.741","m"
"2012-10-09T09:00:00.000","4.038","TESORO INVEMAR","0014017001","10.235","-75.741","m"
"2012-10-09T10:00:00.000","3.792","TESORO INVEMAR","0014017001","10.235","-75.741","m"
"2012-10-09T11:00:00.000","3.807","TESORO INVEMAR","0014017001","10.235","-75.741","m"
"2012-10-09T12:00:00.000","4.047","TESORO INVEMAR","0014017001","10.235","-75.741","m"
"2012-10-09T13:00:00.000","3.817","TESORO INVEMAR","0014017001","10.235","-75.741","m"
"2012-10-09T14:00:00.000","3.952","TESORO INVEMAR","0014017001","10.235","-75.741","m"
"2012-10-09T15:00:00.000","4.023","TESORO INVEMAR","0014017001","10.235","-75.741","m"
"2012-10-09T16:00:00.000","3.972","TESORO INVEMAR","0014017001","10.235","-75.741","m"
"2012-10-09T17:00:00.000","4.415","TESORO INVEMAR","0014017001","10.235","-75.741","m"
"2012-10-09T18:00:00.000","4.432","TESORO INVEMAR","0014017001","10.235","-75.741","m"
"2012-10-09T19:00:00.000","4.494","TESORO INVEMAR","0014017001","10.235","-75.741","m"
"2012-10-09T20:00:00.000","4.006","TESORO INVEMAR","0014017001","10.235","-75.741","m"
"2012-10-09T21:00:00.000","4.076","TESORO INVEMAR","0014017001","10.235","-75.741","m"
"2012-10-09T22:00:00.000","3.994","TESORO INVEMAR","0014017001","10.235","-75.741","m"
"2012-10-09T23:00:00.000","4.004","TESORO INVEMAR","0014017001","10.235","-75.741","m"
"2012-10-10T04:00:00.000","3.727","TESORO INVEMAR","0014017001","10.235","-75.741","m"
"2012-10-10T05:00:00.000","3.864","TESORO INVEMAR","0014017001","10.235","-75.741","m"
"2012-10-10T06:00:00.000","3.868","TESORO INVEMAR","0014017001","10.235","-75.741","m"
"2012-10-10T07:00:00.000","4.109","TESORO INVEMAR","0014017001","10.235","-75.741","m"
"2012-10-10T08:00:00.000","3.841","TESORO INVEMAR","0014017001","10.235","-75.741","m"
"2012-10-10T09:00:00.000","3.749","TESORO INVEMAR","0014017001","10.235","-75.741","m"
"2012-10-10T10:00:00.000","4.019","TESORO INVEMAR","0014017001","10.235","-75.741","m"
"2012-10-10T11:00:00.000","4.232","TESORO INVEMAR","0014017001","10.235","-75.741","m"
"2012-10-10T12:00:00.000","4.124","TESORO INVEMAR","0014017001","10.235","-75.741","m"
"2012-10-10T13:00:00.000","4.361","TESORO INVEMAR","0014017001","10.235","-75.741","m"
"2012-10-10T14:00:00.000","4.352","TESORO INVEMAR","0014017001","10.235","-75.741","m"
"2012-10-10T15:00:00.000","4.281","TESORO INVEMAR","0014017001","10.235","-75.741","m"
"2012-10-10T16:00:00.000","4.319","TESORO INVEMAR","0014017001","10.235","-75.741","m"
"2012-10-10T17:00:00.000","4.361","TESORO INVEMAR","0014017001","10.235","-75.741","m"
"2012-10-10T18:00:00.000","4.366","TESORO INVEMAR","0014017001","10.235","-75.741","m"
"2012-10-10T19:00:00.000","4.418","TESORO INVEMAR","0014017001","10.235","-75.741","m"
"2012-10-10T20:00:00.000","4.529","TESORO INVEMAR","0014017001","10.235","-75.741","m"
"2012-10-10T21:00:00.000","4.444","TESORO INVEMAR","0014017001","10.235","-75.741","m"
"2012-10-10T22:00:00.000","4.762","TESORO INVEMAR","0014017001","10.235","-75.741","m"
"2012-10-10T23:00:00.000","4.415","TESORO INVEMAR","0014017001","10.235","-75.741","m"
"2012-10-11T00:00:00.000","4.25","TESORO INVEMAR","0014017001","10.235","-75.741","m"
"2012-10-11T01:00:00.000","4.161","TESORO INVEMAR","0014017001","10.235","-75.741","m"
"2012-10-11T02:00:00.000","4.208","TESORO INVEMAR","0014017001","10.235","-75.741","m"
"2012-10-11T03:00:00.000","4.083","TESORO INVEMAR","0014017001","10.235","-75.741","m"
"2012-10-11T04:00:00.000","3.932","TESORO INVEMAR","0014017001","10.235","-75.741","m"
"2012-10-11T05:00:00.000","3.99","TESORO INVEMAR","0014017001","10.235","-75.741","m"
"2012-10-11T06:00:00.000","4.011","TESORO INVEMAR","0014017001","10.235","-75.741","m"
"2012-10-11T07:00:00.000","3.903","TESORO INVEMAR","0014017001","10.235","-75.741","m"
"2012-10-11T08:00:00.000","4.271","TESORO INVEMAR","0014017001","10.235","-75.741","m"
"2012-10-11T09:00:00.000","4.496","TESORO INVEMAR","0014017001","10.235","-75.741","m"
"2012-10-11T10:00:00.000","4.381","TESORO INVEMAR","0014017001","10.235","-75.741","m"
