"fecha_inicio","fecha_final","departamento","municipio","tipo_tecnologia","gm","dm","cm","id_empresa","empresa","ano_repor","cod_periodo"
"2023-04-01T00:00:00.000","2023-04-30T00:00:00.000","19","418","1","1650.21","185.2","145.11","55927","EMPRESA PRESTADORA DE SERVICIOS PUBLICOS DE ACUEDUCTO  ALCANTARILLADO  ASEO  ENERGIA  TECNOLOGIAS DE LA INFORMACION Y COMUNICACIONES DE OCCIDENTE SAS","2023","4"
"2023-04-01T00:00:00.000","2023-04-30T00:00:00.000","19","418","1","1501.57","194.17","131.09","26717","EMPRESA DE SERVICIOS PUBLICOS DEL OCCIDENTE COLOMBIANO S.A.","2023","4"
"2023-04-01T00:00:00.000","2023-04-30T00:00:00.000","19","418","1","1237.8","122.76","302.9","21597","COOPERATIVA DE SERVICIOS PÚBLICOS DE LÓPEZ DE MICAY","2023","4"
"2023-04-01T00:00:00.000","2023-04-30T00:00:00.000","19","418","1","1307.0","149.47","111.36","28111","EMPRESA DE SERVICIOS PUBLICOS DE ENERGIA ELECTRICA DEL CAUCA","2023","4"
"2023-05-01T00:00:00.000","2023-05-31T00:00:00.000","19","418","1","1323.95","150.33","112.23","28111","EMPRESA DE SERVICIOS PUBLICOS DE ENERGIA ELECTRICA DEL CAUCA","2023","5"
"2023-05-01T00:00:00.000","2023-05-31T00:00:00.000","19","418","1","1644.9","183.22","146.25","55927","EMPRESA PRESTADORA DE SERVICIOS PUBLICOS DE ACUEDUCTO  ALCANTARILLADO  ASEO  ENERGIA  TECNOLOGIAS DE LA INFORMACION Y COMUNICACIONES DE OCCIDENTE SAS","2023","5"
"2023-05-01T00:00:00.000","2023-05-31T00:00:00.000","19","418","1","1268.96","125.58","305.27","21597","COOPERATIVA DE SERVICIOS PÚBLICOS DE LÓPEZ DE MICAY","2023","5"
"2023-05-01T00:00:00.000","2023-05-31T00:00:00.000","19","418","1","1505.82","190.24","132.12","26717","EMPRESA DE SERVICIOS PUBLICOS DEL OCCIDENTE COLOMBIANO S.A.","2023","5"
"2023-06-01T00:00:00.000","2023-06-30T00:00:00.000","19","418","1","1320.67","146.01","112.72","28111","EMPRESA DE SERVICIOS PUBLICOS DE ENERGIA ELECTRICA DEL CAUCA","2023","6"
"2023-06-01T00:00:00.000","2023-06-30T00:00:00.000","19","418","1","1661.57","181.39","146.89","55927","EMPRESA PRESTADORA DE SERVICIOS PUBLICOS DE ACUEDUCTO  ALCANTARILLADO  ASEO  ENERGIA  TECNOLOGIAS DE LA INFORMACION Y COMUNICACIONES DE OCCIDENTE SAS","2023","6"
"2023-06-01T00:00:00.000","2023-06-30T00:00:00.000","19","418","1","1503.17","187.06","132.69","26717","EMPRESA DE SERVICIOS PUBLICOS DEL OCCIDENTE COLOMBIANO S.A.","2023","6"
"2023-06-01T00:00:00.000","2023-06-30T00:00:00.000","19","418","1","1269.17","121.69","306.6","21597","COOPERATIVA DE SERVICIOS PÚBLICOS DE LÓPEZ DE MICAY","2023","6"
